,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
3148,9374861,VIBOS,ZGGG,2018-02-16 01:06:00,2018-02-16 00:55:00,2018-02-16 01:25:00,2018-02-16 00:00:00,-19.0
3149,9374868,VIBOS,ZGGG,2018-02-16 05:42:00,2018-02-16 05:50:00,2018-02-16 06:20:00,2018-02-16 00:00:00,-38.0
3150,9375198,VIBOS,ZGGG,2018-02-16 05:40:00,2018-02-16 05:45:00,2018-02-16 06:15:00,2018-02-16 00:00:00,-35.0
3151,9375274,VIBOS,ZGGG,2018-02-16 03:36:00,2018-02-16 03:05:00,2018-02-16 03:35:00,2018-02-16 00:00:00,1.0
3152,9375294,VIBOS,ZGGG,2018-02-16 04:59:00,2018-02-16 05:05:00,2018-02-16 05:35:00,2018-02-16 00:00:00,-36.0
3153,9375389,VIBOS,ZGGG,2018-02-16 08:59:00,2018-02-16 08:50:00,2018-02-16 09:20:00,2018-02-16 00:00:00,-21.0
3154,9375400,VIBOS,ZGGG,2018-02-16 09:22:00,2018-02-16 08:45:00,2018-02-16 09:15:00,2018-02-16 00:00:00,7.0
3155,9375543,VIBOS,ZGGG,2018-02-16 07:26:00,2018-02-16 07:10:00,2018-02-16 07:40:00,2018-02-16 00:00:00,-14.0
3156,9375664,VIBOS,ZGGG,2018-02-16 10:34:00,2018-02-16 10:10:00,2018-02-16 10:40:00,2018-02-16 00:00:00,-6.0
3157,9375737,VIBOS,ZGGG,2018-02-16 11:06:00,2018-02-16 10:55:00,2018-02-16 11:25:00,2018-02-16 00:00:00,-19.0
3158,9375775,VIBOS,ZGGG,2018-02-16 07:36:00,2018-02-16 06:55:00,2018-02-16 07:25:00,2018-02-16 00:00:00,11.0
3159,9376015,VIBOS,ZGGG,2018-02-16 11:08:00,2018-02-16 10:55:00,2018-02-16 11:25:00,2018-02-16 00:00:00,-17.0
3160,9376020,VIBOS,ZGGG,2018-02-16 09:20:00,2018-02-16 07:10:00,2018-02-16 07:40:00,2018-02-16 00:00:00,100.0
3161,9376140,VIBOS,ZGGG,2018-02-16 08:33:00,2018-02-16 08:15:00,2018-02-16 08:45:00,2018-02-16 00:00:00,-12.0
3162,9376157,VIBOS,ZGGG,2018-02-16 07:15:00,2018-02-16 07:10:00,2018-02-16 07:40:00,2018-02-16 00:00:00,-25.0
3163,9376220,VIBOS,ZGGG,2018-02-16 07:18:00,2018-02-16 07:05:00,2018-02-16 07:35:00,2018-02-16 00:00:00,-17.0
3164,9376237,VIBOS,ZGGG,2018-02-16 09:40:00,2018-02-16 09:35:00,2018-02-16 10:05:00,2018-02-16 00:00:00,-25.0
3165,9376373,VIBOS,ZGGG,2018-02-16 09:17:00,2018-02-16 08:50:00,2018-02-16 09:20:00,2018-02-16 00:00:00,-3.0
3166,9376480,VIBOS,ZGGG,2018-02-16 08:52:00,2018-02-16 08:25:00,2018-02-16 08:55:00,2018-02-16 00:00:00,-3.0
3167,9376481,VIBOS,ZGGG,2018-02-16 11:10:00,2018-02-16 10:50:00,2018-02-16 11:20:00,2018-02-16 00:00:00,-10.0
3168,9376494,VIBOS,ZGGG,2018-02-16 08:09:00,2018-02-16 07:55:00,2018-02-16 08:25:00,2018-02-16 00:00:00,-16.0
3169,9376659,VIBOS,ZGGG,2018-02-16 10:46:00,2018-02-16 10:45:00,2018-02-16 11:15:00,2018-02-16 00:00:00,-29.0
3170,9376663,VIBOS,ZGGG,2018-02-16 08:07:00,2018-02-16 08:05:00,2018-02-16 08:35:00,2018-02-16 00:00:00,-28.0
3171,9376964,VIBOS,ZGGG,2018-02-16 06:48:00,2018-02-16 06:35:00,2018-02-16 07:05:00,2018-02-16 00:00:00,-17.0
3172,9377055,VIBOS,ZGGG,2018-02-16 11:34:00,2018-02-16 11:15:00,2018-02-16 11:45:00,2018-02-16 00:00:00,-11.0
3173,9377101,VIBOS,ZGGG,2018-02-16 07:44:00,2018-02-16 07:25:00,2018-02-16 07:55:00,2018-02-16 00:00:00,-11.0
3174,9378078,VIBOS,ZGGG,2018-02-16 07:54:00,2018-02-16 07:50:00,2018-02-16 08:20:00,2018-02-16 00:00:00,-26.0
3175,9378563,VIBOS,ZGGG,2018-02-16 16:59:00,2018-02-16 16:30:00,2018-02-16 17:00:00,2018-02-16 00:00:00,-1.0
3176,9378595,VIBOS,ZGGG,2018-02-16 17:06:00,2018-02-16 17:00:00,2018-02-16 17:30:00,2018-02-16 00:00:00,-24.0
3177,9378665,VIBOS,ZGGG,2018-02-16 16:31:00,2018-02-16 16:30:00,2018-02-16 17:00:00,2018-02-16 00:00:00,-29.0
3178,9378836,VIBOS,ZGGG,2018-02-16 14:05:00,2018-02-16 14:15:00,2018-02-16 14:45:00,2018-02-16 00:00:00,-40.0
3179,9378910,VIBOS,ZGGG,2018-02-16 16:23:00,2018-02-16 16:25:00,2018-02-16 16:55:00,2018-02-16 00:00:00,-32.0
3180,9379022,VIBOS,ZGGG,2018-02-16 17:18:00,2018-02-16 16:45:00,2018-02-16 17:15:00,2018-02-16 00:00:00,3.0
3181,9379034,VIBOS,ZGGG,2018-02-16 17:59:00,2018-02-16 17:55:00,2018-02-16 18:25:00,2018-02-16 00:00:00,-26.0
3182,9379446,VIBOS,ZGGG,2018-02-16 15:11:00,2018-02-16 15:00:00,2018-02-16 15:30:00,2018-02-16 00:00:00,-19.0
